The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  3.24142107E+00  -2.02164282E+00  -2.34845916E+00
  3.26365559E+00  -2.93292618E+00  -3.20087737E+00
  3.29259538E+00  -3.21157785E+00  -3.20145588E+00
  3.33305863E+00  -2.57892562E+00  -2.31545430E+00
  3.38855335E+00  -9.52235529E-01  -7.92601906E-01
The toroidal mode    3
 Perpend. k-vec  Curvature        Coriolis
  3.73152632E+00  -9.58234717E-01  -8.02141998E-01
  3.62027166E+00  -2.74483343E+00  -2.46841071E+00
  3.53898664E+00  -3.44004872E+00  -3.43276891E+00
  3.48083730E+00  -3.15243340E+00  -3.44360150E+00
  3.43620961E+00  -2.19127309E+00  -2.54836132E+00
  3.39836150E+00  -8.56364258E-01  -1.03069417E+00
  3.36266820E+00   5.91949850E-01   7.02475880E-01
  3.32519568E+00   1.91318716E+00   2.21330555E+00
  3.28139546E+00   2.86108971E+00   3.11230570E+00
  3.22465832E+00   3.17116135E+00   3.14970986E+00
  3.14538341E+00   2.60293577E+00   2.32415217E+00
  3.03600592E+00   1.13882961E+00   9.33292292E-01
  2.90929207E+00  -7.02495165E-01  -5.90503670E-01
  2.79790224E+00  -2.09266645E+00  -1.88395182E+00
  2.71640724E+00  -2.63380359E+00  -2.63002759E+00
  2.65809460E+00  -2.41907692E+00  -2.64410062E+00
  2.61337128E+00  -1.69072915E+00  -1.96767024E+00
  2.57548869E+00  -6.79740587E-01  -8.19331966E-01
  2.53981848E+00   4.15326178E-01   4.91113679E-01
  2.50243380E+00   1.41264323E+00   1.63261446E+00
  2.45880849E+00   2.12773323E+00   2.31280483E+00
  2.40237404E+00   2.36491622E+00   2.34696855E+00
  2.32356802E+00   1.95076880E+00   1.73969328E+00
  2.21473742E+00   8.83090057E-01   7.21653964E-01
  2.08829466E+00  -4.46755613E-01  -3.78865342E-01
  1.97672698E+00  -1.44049948E+00  -1.29949294E+00
  1.89489122E+00  -1.82755846E+00  -1.82728628E+00
  1.83630281E+00  -1.68572044E+00  -1.84459974E+00
  1.79141982E+00  -1.19018522E+00  -1.38697916E+00
  1.75348957E+00  -5.03116915E-01  -6.07969765E-01
  1.71788269E+00   2.38702506E-01   2.79751478E-01
  1.68069215E+00   9.12099293E-01   1.05192338E+00
  1.63744458E+00   1.39437676E+00   1.51330395E+00
  1.58167104E+00   1.55867109E+00   1.54422724E+00
  1.50392900E+00   1.29860182E+00   1.15523439E+00
  1.39645777E+00   6.27350505E-01   5.10015636E-01
  1.27093327E+00  -1.91016061E-01  -1.67227014E-01
  1.15928630E+00  -7.88332500E-01  -7.15034048E-01
  1.07687498E+00  -1.02131333E+00  -1.02454497E+00
  1.01776801E+00  -9.52363968E-01  -1.04509886E+00
  9.72606321E-01  -6.89641290E-01  -8.06288076E-01
  9.34672069E-01  -3.26493243E-01  -3.96607564E-01
  8.99370081E-01   6.20788346E-02   6.83892777E-02
  8.62890391E-01   4.11555361E-01   4.71232302E-01
  8.20982860E-01   6.61020281E-01   7.13803069E-01
  7.67638004E-01   7.52425957E-01   7.41485922E-01
  6.94218338E-01   6.46434846E-01   5.70775504E-01
  5.93657580E-01   3.71610953E-01   2.98377308E-01
  4.76309484E-01   6.47234908E-02   4.44113145E-02
  3.71136709E-01  -1.36165525E-01  -1.30575161E-01
  2.93273377E-01  -2.15068200E-01  -2.21803654E-01
  2.38742487E-01  -2.19007491E-01  -2.45597984E-01
  2.00109194E-01  -1.89097357E-01  -2.25596995E-01
  1.72628633E-01  -1.49869571E-01  -1.85245363E-01
