The toroidal mode    1
 Perpend. k-vec  Curvature        Coriolis
  7.29620948E-01  -6.26360887E-01  -5.86599673E-01
  7.10932050E-01  -6.92609167E-01  -7.00870680E-01
  6.96355339E-01  -6.50743439E-01  -7.04757548E-01
  6.84515632E-01  -5.29053163E-01  -6.03937998E-01
  6.74366658E-01  -3.54353203E-01  -4.19448239E-01
  6.65145426E-01  -1.50215172E-01  -1.82024456E-01
  6.56254112E-01   6.23669339E-02   7.27991988E-02
  6.47151612E-01   2.63721154E-01   3.08641391E-01
  6.37254291E-01   4.34246153E-01   4.91814651E-01
  6.25827414E-01   5.53567253E-01   5.95239141E-01
  6.11861649E-01   6.00735477E-01   6.03196134E-01
  5.93999328E-01   5.57123790E-01   5.16574563E-01
  5.70804966E-01   4.15219829E-01   3.56004399E-01
  5.42002952E-01   1.94346524E-01   1.56939596E-01
  5.10338716E-01  -5.08767553E-02  -4.49488607E-02
  4.80768494E-01  -2.54822366E-01  -2.23228917E-01
  4.56515982E-01  -3.79801579E-01  -3.56771707E-01
  4.37699334E-01  -4.23162366E-01  -4.29190094E-01
  4.23015195E-01  -3.99845378E-01  -4.33924905E-01
  4.11103033E-01  -3.28365806E-01  -3.75656196E-01
  4.00918936E-01  -2.25587712E-01  -2.67762900E-01
  3.91700246E-01  -1.05927233E-01  -1.28936194E-01
  3.82851815E-01   1.80789952E-02   1.97109374E-02
  3.73839944E-01   1.34955663E-01   1.56956051E-01
  3.64095696E-01   2.33558796E-01   2.63532849E-01
  3.52910119E-01   3.02669192E-01   3.24406497E-01
  3.39315558E-01   3.31288676E-01   3.31515548E-01
  3.22012088E-01   3.10564482E-01   2.86746597E-01
  2.99610706E-01   2.38892936E-01   2.03574579E-01
  2.71776390E-01   1.29814082E-01   1.03811055E-01
  2.40994798E-01   1.36556866E-02   8.17968051E-03
  2.11939075E-01  -7.84954722E-02  -7.07990969E-02
  1.87825322E-01  -1.33242272E-01  -1.26943741E-01
  1.68962807E-01  -1.53715565E-01  -1.57509507E-01
  1.54221751E-01  -1.48947317E-01  -1.63092261E-01
  1.42341675E-01  -1.27678448E-01  -1.47374394E-01
  1.32336658E-01  -9.68222210E-02  -1.16077560E-01
  1.23495437E-01  -6.16392945E-02  -7.58479330E-02
  1.15295100E-01  -2.62089435E-02  -3.33773239E-02
  1.07325646E-01   6.19017189E-03   5.27071145E-03
  9.92457349E-02   3.28714382E-02   3.52510471E-02
  9.07884771E-02   5.17711313E-02   5.35738537E-02
  8.18951348E-02   6.18418754E-02   5.98349617E-02
  7.32104081E-02   6.40051743E-02   5.69186315E-02
  6.72773165E-02   6.25660426E-02   5.11447590E-02
  6.90579997E-02   6.52816401E-02   5.06825135E-02
  8.07637015E-02   7.81881285E-02   6.13082217E-02
  9.75161182E-02   9.78314212E-02   8.16307230E-02
  1.13847514E-01   1.13317036E-01   1.02884225E-01
  1.27779296E-01   1.15731236E-01   1.14171079E-01
  1.39421077E-01   1.01950743E-01   1.07740382E-01
  1.49425554E-01   7.30089097E-02   8.09074075E-02
  1.58434165E-01   3.19432701E-02   3.56077794E-02
  1.66986703E-01  -1.73513558E-02  -2.27596716E-02
  1.75561395E-01  -7.04968822E-02  -8.64655852E-02
  1.84642032E-01  -1.22575319E-01  -1.46414628E-01
  1.94795152E-01  -1.67815919E-01  -1.93030755E-01
  2.06763001E-01  -1.99126930E-01  -2.17258790E-01
