shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     6 -0.000000    32    57     7
     6  0.082380    33    58     8
     6  0.164761    34    59     9
     6  0.247141    35    60    10
     6  0.329521    36    61    11
     6  0.411901    37    62    12
     6  0.494282    38    63    13
     6  0.576662    39     0    14
     6  0.659042    40     0    15
     6  0.741423    41     0    16
     6  0.823803    42     0    17
     6  0.906183    43     0    18
     6  0.988564    44     0    19
     6  1.070944    45     0    20
     6  1.153324    46     0    21
     6  1.235704    47     0    22
     6  1.318085    48     0    23
     6  1.400465    49     0    24
     6  1.482845    50     0    25
     6  1.565226    51     0    26
     6  1.647606    52     0    27
     6  1.729986    53     0    28
     6  1.812366    54     0    29
     6  1.894747    55     0    30
     6  1.977127    56     0    31
     6  2.059507    57     0    32
     6  2.141888    58     0    33
     6  2.224268    59     0    34
     6  2.306648    60     0    35
     6  2.389029    61     0    36
     6  2.471409    62     0    37
     6  2.553789    63     0    38
     7 -2.553789     1    31     0
     7 -2.471409     2    32     0
     7 -2.389029     3    33     0
     7 -2.306648     4    34     0
     7 -2.224268     5    35     0
     7 -2.141888     6    36     0
     7 -2.059507     7    37     0
     7 -1.977127     8    38     0
     7 -1.894747     9    39     0
     7 -1.812366    10    40     0
     7 -1.729986    11    41     0
     7 -1.647606    12    42     0
     7 -1.565226    13    43     0
     7 -1.482845    14    44     0
     7 -1.400465    15    45     0
     7 -1.318085    16    46     0
     7 -1.235704    17    47     0
     7 -1.153324    18    48     0
     7 -1.070944    19    49     0
     7 -0.988564    20    50     0
     7 -0.906183    21    51     0
     7 -0.823803    22    52     0
     7 -0.741423    23    53     0
     7 -0.659042    24    54     0
     7 -0.576662    25    55     0
     7 -0.494282    26    56     0
     7 -0.411901    27    57     0
     7 -0.329521    28    58     0
     7 -0.247141    29    59     0
     7 -0.164761    30    60     0
     7 -0.082380    31    61     1
     7 -0.000000    32    62     2
     7  0.082380    33    63     3
     7  0.164761    34     0     4
     7  0.247141    35     0     5
     7  0.329521    36     0     6
     7  0.411901    37     0     7
     7  0.494282    38     0     8
     7  0.576662    39     0     9
     7  0.659042    40     0    10
     7  0.741423    41     0    11
     7  0.823803    42     0    12
     7  0.906183    43     0    13
     7  0.988564    44     0    14
     7  1.070944    45     0    15
     7  1.153324    46     0    16
     7  1.235704    47     0    17
     7  1.318085    48     0    18
     7  1.400465    49     0    19
     7  1.482845    50     0    20
     7  1.565226    51     0    21
     7  1.647606    52     0    22
     7  1.729986    53     0    23
     7  1.812366    54     0    24
     7  1.894747    55     0    25
     7  1.977127    56     0    26
     7  2.059507    57     0    27
     7  2.141888    58     0    28
     7  2.224268    59     0    29
     7  2.306648    60     0    30
     7  2.389029    61     0    31
     7  2.471409    62     0    32
     7  2.553789    63     0    33
     8 -2.553789     1    36     0
     8 -2.471409     2    37     0
     8 -2.389029     3    38     0
     8 -2.306648     4    39     0
     8 -2.224268     5    40     0
     8 -2.141888     6    41     0
     8 -2.059507     7    42     0
     8 -1.977127     8    43     0
     8 -1.894747     9    44     0
     8 -1.812366    10    45     0
     8 -1.729986    11    46     0
     8 -1.647606    12    47     0
     8 -1.565226    13    48     0
     8 -1.482845    14    49     0
     8 -1.400465    15    50     0
     8 -1.318085    16    51     0
     8 -1.235704    17    52     0
     8 -1.153324    18    53     0
     8 -1.070944    19    54     0
     8 -0.988564    20    55     0
     8 -0.906183    21    56     0
     8 -0.823803    22    57     0
     8 -0.741423    23    58     0
     8 -0.659042    24    59     0
     8 -0.576662    25    60     0
     8 -0.494282    26    61     0
     8 -0.411901    27    62     0
     8 -0.329521    28    63     0
     8 -0.247141    29     0     0
     8 -0.164761    30     0     0
     8 -0.082380    31     0     0
     8 -0.000000    32     0     0
     8  0.082380    33     0     0
     8  0.164761    34     0     0
     8  0.247141    35     0     0
     8  0.329521    36     0     1
     8  0.411901    37     0     2
     8  0.494282    38     0     3
     8  0.576662    39     0     4
     8  0.659042    40     0     5
     8  0.741423    41     0     6
     8  0.823803    42     0     7
     8  0.906183    43     0     8
     8  0.988564    44     0     9
     8  1.070944    45     0    10
     8  1.153324    46     0    11
     8  1.235704    47     0    12
     8  1.318085    48     0    13
     8  1.400465    49     0    14
     8  1.482845    50     0    15
     8  1.565226    51     0    16
     8  1.647606    52     0    17
     8  1.729986    53     0    18
     8  1.812366    54     0    19
     8  1.894747    55     0    20
     8  1.977127    56     0    21
     8  2.059507    57     0    22
     8  2.141888    58     0    23
     8  2.224268    59     0    24
     8  2.306648    60     0    25
     8  2.389029    61     0    26
     8  2.471409    62     0    27
     8  2.553789    63     0    28
     9 -2.553789     1    41     0
     9 -2.471409     2    42     0
     9 -2.389029     3    43     0
     9 -2.306648     4    44     0
     9 -2.224268     5    45     0
     9 -2.141888     6    46     0
     9 -2.059507     7    47     0
     9 -1.977127     8    48     0
     9 -1.894747     9    49     0
     9 -1.812366    10    50     0
     9 -1.729986    11    51     0
     9 -1.647606    12    52     0
     9 -1.565226    13    53     0
     9 -1.482845    14    54     0
     9 -1.400465    15    55     0
     9 -1.318085    16    56     0
     9 -1.235704    17    57     0
     9 -1.153324    18    58     0
     9 -1.070944    19    59     0
     9 -0.988564    20    60     0
     9 -0.906183    21    61     0
     9 -0.823803    22    62     0
     9 -0.741423    23    63     0
     9 -0.659042    24     0     0
     9 -0.576662    25     0     0
     9 -0.494282    26     0     0
     9 -0.411901    27     0     0
     9 -0.329521    28     0     0
     9 -0.247141    29     0     0
     9 -0.164761    30     0     0
     9 -0.082380    31     0     0
     9 -0.000000    32     0     0
     9  0.082380    33     0     0
     9  0.164761    34     0     0
     9  0.247141    35     0     0
     9  0.329521    36     0     0
     9  0.411901    37     0     0
     9  0.494282    38     0     0
     9  0.576662    39     0     0
     9  0.659042    40     0     0
     9  0.741423    41     0     1
     9  0.823803    42     0     2
     9  0.906183    43     0     3
     9  0.988564    44     0     4
     9  1.070944    45     0     5
     9  1.153324    46     0     6
     9  1.235704    47     0     7
     9  1.318085    48     0     8
     9  1.400465    49     0     9
     9  1.482845    50     0    10
     9  1.565226    51     0    11
     9  1.647606    52     0    12
     9  1.729986    53     0    13
     9  1.812366    54     0    14
     9  1.894747    55     0    15
     9  1.977127    56     0    16
     9  2.059507    57     0    17
     9  2.141888    58     0    18
     9  2.224268    59     0    19
     9  2.306648    60     0    20
     9  2.389029    61     0    21
     9  2.471409    62     0    22
     9  2.553789    63     0    23
    10 -2.553789     1    46     0
