shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     4  2.224268    69     0    54
     4  2.306648    70     0    55
     4  2.389029    71     0    56
     4  2.471409    72     0    57
     4  2.553789    73     0    58
     4  2.636169    74     0    59
     4  2.718550    75     0    60
     4  2.800930    76     0    61
     4  2.883310    77     0    62
     4  2.965691    78     0    63
     4  3.048071    79     0    64
     4  3.130451    80     0    65
     4  3.212831    81     0    66
     4  3.295212    82     0    67
     4  3.377592    83     0    68
     5 -3.377592     1    21     0
     5 -3.295212     2    22     0
     5 -3.212831     3    23     0
     5 -3.130451     4    24     0
     5 -3.048071     5    25     0
     5 -2.965691     6    26     0
     5 -2.883310     7    27     0
     5 -2.800930     8    28     0
     5 -2.718550     9    29     0
     5 -2.636169    10    30     0
     5 -2.553789    11    31     0
     5 -2.471409    12    32     0
     5 -2.389029    13    33     0
     5 -2.306648    14    34     0
     5 -2.224268    15    35     0
     5 -2.141888    16    36     0
     5 -2.059507    17    37     0
     5 -1.977127    18    38     0
     5 -1.894747    19    39     0
     5 -1.812366    20    40     0
     5 -1.729986    21    41     1
     5 -1.647606    22    42     2
     5 -1.565226    23    43     3
     5 -1.482845    24    44     4
     5 -1.400465    25    45     5
     5 -1.318085    26    46     6
     5 -1.235704    27    47     7
     5 -1.153324    28    48     8
     5 -1.070944    29    49     9
     5 -0.988564    30    50    10
     5 -0.906183    31    51    11
     5 -0.823803    32    52    12
     5 -0.741423    33    53    13
     5 -0.659042    34    54    14
     5 -0.576662    35    55    15
     5 -0.494282    36    56    16
     5 -0.411901    37    57    17
     5 -0.329521    38    58    18
     5 -0.247141    39    59    19
     5 -0.164761    40    60    20
     5 -0.082380    41    61    21
     5 -0.000000    42    62    22
     5  0.082380    43    63    23
     5  0.164761    44    64    24
     5  0.247141    45    65    25
     5  0.329521    46    66    26
     5  0.411901    47    67    27
     5  0.494282    48    68    28
     5  0.576662    49    69    29
     5  0.659042    50    70    30
     5  0.741423    51    71    31
     5  0.823803    52    72    32
