shat:   0.78  q:   1.40  eps:   0.19  ikxspace:    5
 imod, kxrh(ix), ix, ixplus(imod,ix), ixminus(imod,ix)
     7  0.164761    24     0     0
     7  0.247141    25     0     0
     7  0.329521    26     0     0
     7  0.411901    27     0     0
     7  0.494282    28     0     0
     7  0.576662    29     0     0
     7  0.659042    30     0     0
     7  0.741423    31     0     1
     7  0.823803    32     0     2
     7  0.906183    33     0     3
     7  0.988564    34     0     4
     7  1.070944    35     0     5
     7  1.153324    36     0     6
     7  1.235704    37     0     7
     7  1.318085    38     0     8
     7  1.400465    39     0     9
     7  1.482845    40     0    10
     7  1.565226    41     0    11
     7  1.647606    42     0    12
     7  1.729986    43     0    13
     8 -1.729986     1    36     0
     8 -1.647606     2    37     0
     8 -1.565226     3    38     0
     8 -1.482845     4    39     0
     8 -1.400465     5    40     0
     8 -1.318085     6    41     0
     8 -1.235704     7    42     0
     8 -1.153324     8    43     0
     8 -1.070944     9     0     0
     8 -0.988564    10     0     0
     8 -0.906183    11     0     0
     8 -0.823803    12     0     0
     8 -0.741423    13     0     0
     8 -0.659042    14     0     0
     8 -0.576662    15     0     0
     8 -0.494282    16     0     0
     8 -0.411901    17     0     0
     8 -0.329521    18     0     0
     8 -0.247141    19     0     0
     8 -0.164761    20     0     0
     8 -0.082380    21     0     0
     8 -0.000000    22     0     0
     8  0.082380    23     0     0
     8  0.164761    24     0     0
     8  0.247141    25     0     0
     8  0.329521    26     0     0
     8  0.411901    27     0     0
     8  0.494282    28     0     0
     8  0.576662    29     0     0
     8  0.659042    30     0     0
     8  0.741423    31     0     0
     8  0.823803    32     0     0
     8  0.906183    33     0     0
     8  0.988564    34     0     0
     8  1.070944    35     0     0
     8  1.153324    36     0     1
     8  1.235704    37     0     2
     8  1.318085    38     0     3
     8  1.400465    39     0     4
     8  1.482845    40     0     5
     8  1.565226    41     0     6
     8  1.647606    42     0     7
     8  1.729986    43     0     8
     9 -1.729986     1    41     0
     9 -1.647606     2    42     0
     9 -1.565226     3    43     0
     9 -1.482845     4     0     0
     9 -1.400465     5     0     0
     9 -1.318085     6     0     0
     9 -1.235704     7     0     0
     9 -1.153324     8     0     0
     9 -1.070944     9     0     0
     9 -0.988564    10     0     0
     9 -0.906183    11     0     0
     9 -0.823803    12     0     0
     9 -0.741423    13     0     0
     9 -0.659042    14     0     0
     9 -0.576662    15     0     0
     9 -0.494282    16     0     0
     9 -0.411901    17     0     0
     9 -0.329521    18     0     0
     9 -0.247141    19     0     0
     9 -0.164761    20     0     0
     9 -0.082380    21     0     0
     9 -0.000000    22     0     0
     9  0.082380    23     0     0
     9  0.164761    24     0     0
     9  0.247141    25     0     0
     9  0.329521    26     0     0
     9  0.411901    27     0     0
     9  0.494282    28     0     0
     9  0.576662    29     0     0
     9  0.659042    30     0     0
     9  0.741423    31     0     0
     9  0.823803    32     0     0
     9  0.906183    33     0     0
     9  0.988564    34     0     0
     9  1.070944    35     0     0
     9  1.153324    36     0     0
     9  1.235704    37     0     0
     9  1.318085    38     0     0
     9  1.400465    39     0     0
     9  1.482845    40     0     0
     9  1.565226    41     0     1
     9  1.647606    42     0     2
     9  1.729986    43     0     3
    10 -1.729986     1     0     0
    10 -1.647606     2     0     0
    10 -1.565226     3     0     0
    10 -1.482845     4     0     0
    10 -1.400465     5     0     0
    10 -1.318085     6     0     0
    10 -1.235704     7     0     0
    10 -1.153324     8     0     0
    10 -1.070944     9     0     0
    10 -0.988564    10     0     0
    10 -0.906183    11     0     0
    10 -0.823803    12     0     0
    10 -0.741423    13     0     0
    10 -0.659042    14     0     0
    10 -0.576662    15     0     0
    10 -0.494282    16     0     0
    10 -0.411901    17     0     0
    10 -0.329521    18     0     0
    10 -0.247141    19     0     0
    10 -0.164761    20     0     0
    10 -0.082380    21     0     0
    10 -0.000000    22     0     0
    10  0.082380    23     0     0
    10  0.164761    24     0     0
    10  0.247141    25     0     0
    10  0.329521    26     0     0
    10  0.411901    27     0     0
    10  0.494282    28     0     0
    10  0.576662    29     0     0
    10  0.659042    30     0     0
    10  0.741423    31     0     0
    10  0.823803    32     0     0
    10  0.906183    33     0     0
    10  0.988564    34     0     0
    10  1.070944    35     0     0
    10  1.153324    36     0     0
    10  1.235704    37     0     0
    10  1.318085    38     0     0
    10  1.400465    39     0     0
    10  1.482845    40     0     0
    10  1.565226    41     0     0
    10  1.647606    42     0     0
